fixedacidity,volatileacidity,residualsugar,chlorides,totalsulfurdioxide,density,pH,alcohol
6.5,0.26,13.3,0.044,224.0,0.9972,3.18,9.5
9.0,0.26,6.7,0.029,162.0,0.99497,3.08,10.6
6.1,0.27,3.9,0.034,137.0,0.99218,3.24,10.9
6.4,0.37,13.3,0.045,243.0,0.9982,3.14,8.5
7.9,0.19,2.1,0.039,143.0,0.9942,3.05,9.8
8.1,0.22,1.5,0.044,129.0,0.9938,3.22,11.0
5.7,0.29,7.9,0.044,197.0,0.99512,3.21,9.4
6.7,0.15,7.9,0.034,81.0,0.99512,3.29,10.0
6.1,0.22,1.5,0.051,87.0,0.9928,3.3,9.6
5.8,0.22,1.1,0.047,131.0,0.992,3.26,10.4
7.3,0.31,10.2,0.041,160.0,0.9977,3.06,8.6
6.3,0.26,7.1,0.045,209.0,0.99544,3.2,9.5
6.9,0.33,4.2,0.04,93.0,0.9896,3.18,13.4
7.3,0.14,1.1,0.038,99.0,0.9928,3.2,10.6
8.1,0.26,4.3,0.03,123.0,0.99212,3.16,11.2
6.6,0.34,6.4,0.082,240.0,0.9971,3.42,9.2
6.8,0.32,1.2,0.044,67.0,0.9919,3.05,10.6
7.3,0.19,1.6,0.027,136.0,0.99248,3.38,11.0
6.4,0.44,14.4,0.048,228.0,0.99955,3.26,8.8
6.8,0.21,18.1,0.046,133.0,1.0,3.27,8.8
6.6,0.32,10.9,0.041,146.0,0.9963,3.24,10.0
7.4,0.18,10.4,0.045,174.0,0.9966,3.11,9.7
7.1,0.18,14.5,0.051,156.0,0.99947,3.35,9.1
7.6,0.23,10.0,0.036,182.0,0.9967,3.08,9.6
8.8,0.33,2.1,0.034,125.0,0.99166,2.96,12.7
6.2,0.15,0.9,0.033,51.0,0.9932,3.3,9.4
9.0,0.31,6.6,0.043,73.0,0.9938,2.9,11.6
7.0,0.35,6.5,0.028,87.0,0.9936,3.4,11.4
6.3,0.22,1.2,0.036,96.0,0.98961,3.06,11.6
7.3,0.21,1.8,0.038,152.0,0.9912,3.32,12.6
6.4,0.28,1.6,0.052,127.0,0.9929,3.48,10.5
7.0,0.14,5.9,0.053,118.0,0.9954,3.36,9.4
5.6,0.35,5.0,0.046,198.0,0.9937,3.3,10.3
6.0,0.24,6.3,0.03,129.0,0.9946,3.52,10.4
7.7,0.3,1.2,0.048,119.0,0.99084,3.18,12.1
6.2,0.33,4.8,0.052,128.0,0.99475,3.21,9.4
8.2,0.37,1.7,0.028,59.0,0.9923,2.97,10.4
9.9,0.49,2.4,0.087,115.0,0.9948,2.77,9.4
6.3,0.23,3.75,0.039,116.0,0.9927,3.23,10.7
6.1,0.37,4.7,0.035,116.0,0.991,3.31,12.6
6.8,0.63,1.3,0.058,133.0,0.99271,3.17,10.2
6.9,0.38,13.65,0.048,189.0,0.99784,3.0,9.5
6.6,0.19,11.8,0.042,137.0,0.99492,3.18,10.8
5.3,0.585,7.1,0.044,145.0,0.9945,3.34,9.7
6.7,0.61,1.65,0.117,240.0,0.9938,3.11,9.3
6.2,0.15,1.4,0.041,117.0,0.9909,3.28,11.2
6.5,0.43,12.0,0.056,174.0,0.9986,3.31,9.3
6.6,0.24,2.0,0.023,86.0,0.99,3.25,12.5
6.3,0.4,5.1,0.036,131.0,0.99186,3.24,11.3
6.9,0.46,0.9,0.054,126.0,0.992,3.1,10.4
6.9,0.24,20.8,0.031,139.0,0.9975,3.2,11.0
5.9,0.12,1.4,0.037,83.0,0.99074,3.33,10.9
7.1,0.32,14.5,0.039,150.0,0.995,3.38,12.5
8.0,0.27,1.2,0.05,103.0,0.99002,3.0,12.4
7.4,0.41,4.7,0.042,127.0,0.9953,3.25,10.4
7.2,0.23,12.7,0.049,183.0,0.9987,3.41,9.8
5.6,0.25,3.6,0.037,115.0,0.9904,3.42,12.6
8.0,0.24,1.2,0.044,101.0,0.99035,3.03,12.5
6.4,0.35,12.6,0.039,124.0,0.99539,3.2,10.6
5.9,0.21,4.6,0.053,199.0,0.9964,3.72,10.0
6.8,0.18,1.6,0.055,154.0,0.9934,3.08,9.1
6.7,0.41,9.2,0.049,150.0,0.9968,3.22,9.1
6.3,0.2,1.5,0.037,107.0,0.9917,3.46,11.4
8.9,0.13,1.0,0.028,24.0,0.9926,2.91,9.9
5.9,0.2,1.5,0.037,93.0,0.99021,3.36,12.0
5.8,0.34,6.6,0.04,167.0,0.9941,3.29,10.0
6.3,0.28,11.2,0.04,183.0,0.99592,3.12,9.5
6.2,0.22,1.5,0.064,132.0,0.9938,3.22,9.2
6.5,0.32,7.7,0.022,97.0,0.99134,3.2,12.7
7.3,0.18,1.0,0.036,101.0,0.99,3.09,11.7
7.7,0.3,18.95,0.053,174.0,0.99976,3.2,10.4
6.7,0.36,8.3,0.034,81.0,0.99151,2.96,12.5
6.3,0.29,4.7,0.059,81.0,0.99036,3.24,12.7
6.5,0.28,4.8,0.029,128.0,0.99074,3.17,12.2
6.4,0.29,15.0,0.04,116.0,0.99736,3.14,9.2
7.9,0.33,31.6,0.053,176.0,1.0103,3.15,8.8
7.4,0.23,8.6,0.052,150.0,0.99534,3.06,10.3
6.9,0.43,9.4,0.056,183.0,0.99594,3.17,9.4
7.1,0.44,8.4,0.057,160.0,0.99257,3.16,11.8
7.8,0.29,9.5,0.056,213.0,0.99715,3.08,9.3
7.5,0.29,8.1,0.037,166.0,0.9966,2.9,8.9
7.3,0.25,13.1,0.05,200.0,0.9986,3.04,8.9
6.6,0.34,1.3,0.035,90.0,0.9916,3.1,10.7
6.8,0.44,16.0,0.065,186.0,0.99884,3.13,8.6
6.5,0.37,2.2,0.033,107.0,0.98894,3.22,13.5
6.6,0.15,6.0,0.033,128.0,0.99192,3.19,12.1
7.0,0.36,10.05,0.045,131.0,0.99352,3.09,11.7
6.0,0.45,1.1,0.051,197.0,0.9932,3.02,9.0
7.4,0.25,6.8,0.02,113.0,0.99338,3.13,10.8
7.5,0.42,10.7,0.046,95.0,0.9959,3.22,10.7
6.7,0.31,14.5,0.038,79.0,0.99412,3.14,12.5
5.5,0.34,2.2,0.021,119.0,0.98919,3.55,13.0
7.0,0.19,5.7,0.123,104.0,0.9954,3.04,9.4
6.7,0.11,14.8,0.053,95.0,0.99676,3.2,9.8
8.1,0.45,8.3,0.037,216.0,0.9976,3.31,9.7
5.9,0.2,1.3,0.047,92.0,0.99232,3.2,10.0
7.9,0.64,10.6,0.244,227.0,0.9983,2.87,9.1
6.0,0.2,1.1,0.039,126.0,0.99051,3.31,11.6
7.6,0.48,0.8,0.037,100.0,0.9902,3.03,11.4
6.9,0.4,11.2,0.043,142.0,0.9975,3.14,8.7
6.6,0.26,15.4,0.053,141.0,0.9981,3.11,9.3
7.2,0.21,1.3,0.036,85.0,0.992,3.17,10.4
7.2,0.24,2.0,0.029,63.0,0.99076,3.13,12.5
6.4,0.21,5.6,0.044,160.0,0.9949,3.6,10.6
6.9,0.35,1.0,0.044,132.0,0.992,3.13,10.2
8.3,0.28,7.8,0.059,139.0,0.9972,3.33,11.2
6.3,0.28,3.1,0.039,115.0,0.9942,3.05,8.6
7.0,0.34,3.5,0.044,63.0,0.9937,3.01,9.2
7.1,0.21,1.2,0.039,97.0,0.99112,3.11,11.2
7.8,0.32,2.4,0.037,101.0,0.9912,3.21,11.7
7.6,0.21,1.2,0.041,106.0,0.9914,3.06,11.3
6.7,0.24,10.3,0.079,122.0,0.99662,3.02,8.8
7.3,0.23,1.8,0.032,156.0,0.992,3.11,11.1
5.8,0.18,1.3,0.034,94.0,0.99092,3.21,11.2
6.8,0.24,6.4,0.048,172.0,0.9944,3.29,10.5
6.2,0.255,1.7,0.039,272.0,0.99452,3.53,9.6
7.0,0.19,5.7,0.123,104.0,0.9954,3.04,9.4
7.4,0.16,15.5,0.05,135.0,0.9984,2.9,8.7
7.5,0.27,5.8,0.057,313.0,0.9946,3.18,10.5
8.5,0.24,15.2,0.057,234.0,1.0005,3.02,9.0
7.3,0.26,12.7,0.047,156.0,0.9984,3.06,9.1
6.1,0.27,16.7,0.039,172.0,0.99985,3.4,9.4
8.1,0.43,6.6,0.033,141.0,0.9918,2.98,13.3
6.2,0.3,2.8,0.04,125.0,0.9939,3.01,9.0
6.8,0.18,8.5,0.047,242.0,0.9952,3.22,10.5
8.5,0.25,4.7,0.031,92.0,0.9922,3.01,12.0
6.2,0.46,4.4,0.066,207.0,0.9939,3.25,9.8
6.8,0.39,11.6,0.044,220.0,0.99775,3.07,9.3
7.2,0.24,1.7,0.045,161.0,0.99196,3.25,11.2
5.9,0.27,2.0,0.034,102.0,0.98952,3.16,12.3
7.9,0.34,6.5,0.027,126.0,0.99124,2.96,12.5
5.4,0.5,5.0,0.028,107.0,0.99079,3.48,13.5
6.1,0.3,2.1,0.031,163.0,0.9895,3.39,12.7
6.3,0.2,1.4,0.204,97.0,0.9931,3.16,10.0
8.6,0.37,12.15,0.039,158.0,0.9983,3.0,9.3
7.6,0.31,12.7,0.054,139.0,0.99836,3.16,9.7
7.1,0.26,2.0,0.031,128.0,0.9917,3.19,11.4
5.9,0.21,12.1,0.044,165.0,0.9969,3.25,9.5
5.2,0.185,1.0,0.03,123.0,0.99218,3.55,10.15
7.6,0.38,4.2,0.029,112.0,0.9906,3.0,12.6
7.7,0.2,13.9,0.05,130.0,0.99855,3.11,10.0
6.4,0.24,5.8,0.053,120.0,0.9942,3.01,10.5
6.3,0.17,4.2,0.04,117.0,0.99182,3.24,11.3
8.2,0.37,13.9,0.043,171.0,0.99873,2.99,9.3
7.0,0.23,7.1,0.028,104.0,0.9922,3.35,12.1
6.9,0.22,15.0,0.053,178.0,0.9992,3.37,9.5
5.9,0.26,2.4,0.046,132.0,0.99234,3.63,11.3
7.8,0.49,7.0,0.043,149.0,0.9952,3.21,10.0
6.4,0.42,9.3,0.043,145.0,0.99433,3.23,10.98
6.8,0.35,10.1,0.053,151.0,0.9963,3.07,9.4
7.5,0.32,4.6,0.053,134.0,0.9958,3.14,9.1
6.8,0.18,8.7,0.047,242.0,0.9952,3.22,10.5
6.3,0.21,1.2,0.043,117.0,0.99158,3.49,11.0
7.6,0.33,13.7,0.045,197.0,0.9989,3.18,9.1
7.4,0.16,1.4,0.064,166.0,0.99136,3.11,11.4333333333333
6.8,0.29,3.5,0.054,189.0,0.99489,3.42,10.4
5.7,0.1,1.3,0.047,100.0,0.9928,3.27,9.5
6.4,0.3,5.5,0.048,172.0,0.9942,3.08,9.1
7.2,0.33,1.4,0.034,109.0,0.99246,3.28,10.6
6.6,0.24,7.7,0.031,135.0,0.9938,3.19,10.5
3.8,0.31,11.1,0.036,114.0,0.99248,3.75,12.4
7.0,0.26,10.9,0.038,84.0,0.99432,3.11,10.9
7.9,0.2,1.6,0.053,144.0,0.993,3.16,10.5
9.2,0.32,1.3,0.046,186.0,0.9949,3.08,9.6
7.6,0.2,1.9,0.043,111.0,0.99237,3.29,11.3
5.1,0.35,6.8,0.034,120.0,0.99188,3.38,11.5
6.1,0.24,1.5,0.045,61.0,0.992,3.31,10.4
6.8,0.24,4.6,0.032,135.0,0.9927,3.2,10.6
7.9,0.33,31.6,0.053,176.0,1.0103,3.15,8.8
6.2,0.2,15.0,0.055,120.0,0.99767,3.19,9.6
6.0,0.18,1.5,0.089,143.0,0.9923,3.49,10.8
6.8,0.28,1.1,0.132,127.0,0.9934,3.09,9.1
6.2,0.255,1.3,0.037,86.0,0.98834,3.05,12.9
6.6,0.26,11.8,0.048,112.0,0.99606,2.87,9.7
6.3,0.21,1.5,0.051,142.0,0.9928,3.23,10.1
7.4,0.26,7.9,0.049,157.0,0.9963,3.13,8.9
6.9,0.29,6.8,0.034,212.0,0.9955,3.08,9.0
5.4,0.46,2.1,0.026,130.0,0.98953,3.39,13.4
4.4,0.32,4.3,0.03,127.0,0.98904,3.46,12.8
6.6,0.25,1.3,0.04,85.0,0.98984,2.87,11.2
6.6,0.16,1.8,0.042,105.0,0.98962,3.19,12.4
6.2,0.3,1.6,0.036,106.0,0.988245,3.14,13.3
8.1,0.2,1.3,0.036,49.0,0.99242,2.99,10.3
8.5,0.28,13.8,0.041,161.0,0.9981,3.13,9.9
7.4,0.32,16.6,0.056,238.0,1.0017,2.96,8.7
6.1,0.32,10.7,0.036,98.0,0.99521,3.34,10.2
5.0,0.27,4.5,0.032,178.0,0.98956,3.45,12.6
8.9,0.32,1.6,0.05,131.0,0.9956,3.13,9.4
6.6,0.56,10.0,0.037,157.0,0.99642,3.28,9.4
6.3,0.29,3.3,0.037,140.0,0.9895,3.17,12.8
6.7,0.21,8.55,0.02,86.0,0.99146,3.19,13.4
6.6,0.22,5.5,0.029,105.0,0.99206,3.2,11.8
6.5,0.13,2.6,0.035,76.0,0.9914,3.21,11.3333333333333
9.7,0.14,1.5,0.049,142.0,0.9958,2.98,9.5
7.5,0.17,1.7,0.04,148.0,0.9916,3.21,11.5
5.9,0.14,4.5,0.027,140.0,0.9934,3.49,10.8
5.0,0.455,1.9,0.036,106.0,0.98746,3.21,14.0
6.6,0.23,3.9,0.045,138.0,0.9922,3.15,11.3
8.1,0.19,0.9,0.037,180.0,0.9926,3.06,10.0
6.5,0.19,5.2,0.04,140.0,0.995,3.26,9.5
7.6,0.33,6.3,0.036,126.0,0.9924,3.16,12.0
7.7,0.3,14.3,0.045,213.0,0.9991,3.18,9.2
7.6,0.17,11.2,0.054,137.0,0.997,3.15,10.0
7.3,0.31,6.65,0.032,138.0,0.99244,2.9,11.1
6.4,0.14,1.2,0.034,138.0,0.99084,3.38,11.5
6.9,0.3,1.3,0.053,186.0,0.99361,3.29,9.9
8.2,0.23,1.8,0.047,187.0,0.9933,3.13,10.2
7.6,0.52,14.0,0.034,156.0,0.9958,3.14,11.8
7.8,0.21,1.2,0.036,99.0,0.99,3.05,12.1
7.4,0.19,6.4,0.067,212.0,0.9958,3.3,9.6
7.0,0.32,1.5,0.039,125.0,0.9918,3.17,12.2
6.7,0.21,1.4,0.047,114.0,0.9914,2.92,10.8
6.7,0.24,3.85,0.042,179.0,0.99189,3.04,11.3
7.0,0.15,14.7,0.051,149.0,0.99792,2.96,9.0
9.1,0.27,10.6,0.035,124.0,0.997,3.2,10.4
7.5,0.19,2.6,0.037,125.0,0.9923,3.1,11.1
6.0,0.28,15.5,0.036,134.0,0.99408,3.19,13.0
7.2,0.4,2.2,0.03,109.0,0.99075,3.27,12.6
6.6,0.22,4.9,0.042,180.0,0.9952,3.3,9.5
7.6,0.23,5.2,0.066,91.0,0.99488,3.17,9.7
6.8,0.27,16.1,0.049,196.0,0.9984,3.15,9.3
5.4,0.29,1.2,0.029,132.0,0.98895,3.28,12.4
7.0,0.44,12.1,0.056,210.0,0.99718,3.05,9.5
7.1,0.21,1.2,0.069,156.0,0.9928,3.42,10.6
7.3,0.25,2.1,0.034,177.0,0.99085,3.25,11.9
6.7,0.16,2.0,0.045,131.0,0.99284,3.3,10.5
7.5,0.23,9.2,0.038,191.0,0.9966,3.04,9.7
5.7,0.44,7.0,0.025,173.0,0.9913,3.33,12.5
6.7,0.66,13.0,0.033,75.0,0.99551,3.15,10.7
6.9,0.29,19.45,0.043,156.0,0.9996,2.93,8.9
6.4,0.29,11.1,0.063,169.0,0.9973,2.89,9.0
6.1,0.36,8.15,0.035,88.0,0.99031,3.06,13.0
6.9,0.2,6.2,0.027,97.0,0.992,3.38,12.2
8.7,0.23,13.4,0.044,169.0,0.99975,3.12,8.8
6.4,0.38,7.2,0.047,151.0,0.99604,3.11,9.2
6.6,0.36,1.5,0.049,184.0,0.9928,3.18,9.9
6.5,0.43,13.15,0.032,131.0,0.99565,3.23,10.7
7.0,0.2,0.8,0.044,163.0,0.9931,3.46,10.2
6.4,0.29,3.6,0.197,183.0,0.9942,3.01,9.1
7.0,0.32,7.6,0.025,124.0,0.99162,3.15,12.8
6.8,0.43,5.2,0.043,176.0,0.99116,3.17,12.3
5.6,0.2,1.3,0.049,155.0,0.99296,3.74,10.0
7.0,0.21,5.1,0.048,168.0,0.9945,3.34,10.4
8.3,0.24,2.1,0.03,162.0,0.9914,2.99,11.9
7.7,0.43,19.95,0.032,164.0,0.99742,3.29,12.0
6.2,0.22,20.8,0.035,184.0,1.00022,3.11,9.0
7.0,0.16,2.6,0.043,90.0,0.99047,2.88,11.2
7.1,0.22,2.7,0.044,144.0,0.991,3.31,12.2
6.2,0.31,3.3,0.052,113.0,0.99429,3.16,8.4
6.0,0.27,14.7,0.044,144.0,0.99666,3.12,10.3
7.1,0.18,15.25,0.047,158.0,0.99946,3.34,9.1
8.0,0.45,10.8,0.051,157.0,0.9957,3.06,11.4
8.4,0.36,11.1,0.032,132.0,0.99313,2.95,13.0
6.9,0.26,4.2,0.043,114.0,0.9902,3.16,12.5
6.0,0.34,5.4,0.06,126.0,0.9951,3.25,9.0
6.6,0.18,3.3,0.044,91.0,0.993,3.42,10.8
7.6,0.39,2.8,0.036,113.0,0.9926,3.03,10.2
6.4,0.29,2.4,0.014,89.0,0.99008,3.24,12.5
6.8,0.37,1.9,0.024,106.0,0.98993,3.45,12.6
6.5,0.24,2.2,0.027,134.0,0.9898,3.28,12.5
8.2,0.23,1.2,0.027,121.0,0.992,3.12,10.7
8.7,0.3,4.8,0.018,127.0,0.99474,3.12,11.2
7.1,0.18,1.3,0.041,71.0,0.9926,3.04,9.9
6.8,0.32,2.2,0.044,68.0,0.9932,3.17,9.4
6.6,0.37,2.0,0.064,120.0,0.9946,3.32,9.4
5.6,0.29,0.8,0.038,30.0,0.9924,3.36,9.2
7.3,0.24,17.95,0.057,149.0,0.9999,3.21,8.6
6.4,0.41,6.1,0.048,70.0,0.99362,3.19,10.0
5.9,0.17,3.1,0.03,123.0,0.98913,3.41,13.7
7.6,0.27,5.0,0.04,56.0,0.99084,3.06,12.4
6.4,0.26,7.7,0.056,191.0,0.99527,3.16,9.5
7.8,0.25,13.7,0.044,184.0,0.99976,3.22,8.9
7.3,0.26,1.6,0.04,173.0,0.9918,3.19,11.4
8.3,0.2,0.9,0.05,74.0,0.992,3.13,10.5
7.8,0.965,65.8,0.074,160.0,1.03898,3.39,11.7
5.8,0.17,1.8,0.045,170.0,0.99035,3.38,11.8
4.9,0.345,1.0,0.068,143.0,0.99138,3.24,10.1
7.3,0.3,6.4,0.056,168.0,0.9947,3.13,10.1
7.1,0.37,10.5,0.045,155.0,0.9975,3.16,8.7
6.2,0.32,7.0,0.045,136.0,0.9949,3.18,9.6
7.3,0.28,1.6,0.054,148.0,0.99178,3.18,10.7
7.5,0.25,4.1,0.041,163.0,0.99184,2.92,11.3
7.6,0.21,1.9,0.036,119.0,0.9913,3.01,12.8
7.1,0.27,10.4,0.041,114.0,0.99335,3.04,11.5
7.6,0.31,5.8,0.036,109.0,0.99399,3.34,11.0
6.6,0.19,1.5,0.037,107.0,0.99006,3.18,12.0
6.7,0.3,1.4,0.18,160.0,0.9937,3.11,9.4
6.6,0.2,4.4,0.184,168.0,0.99396,2.93,9.4
7.0,0.13,5.0,0.056,122.0,0.9945,3.47,10.5
9.8,0.93,8.6,0.052,187.0,0.9994,3.12,10.2
7.1,0.18,14.5,0.051,156.0,0.99947,3.35,9.1
7.2,0.17,17.55,0.05,154.0,0.99971,2.94,9.0
7.3,0.28,1.7,0.08,123.0,0.9905,3.19,12.8
6.9,0.23,6.9,0.03,116.0,0.99244,2.8,11.0
6.5,0.25,1.4,0.024,101.0,0.9916,3.24,10.8
7.2,0.25,18.95,0.038,155.0,0.9999,2.97,9.0
7.3,0.26,9.3,0.05,154.0,0.99581,3.21,10.4
8.5,0.15,1.5,0.031,122.0,0.9932,3.03,10.3
6.1,0.31,2.8,0.042,162.0,0.99179,3.27,10.8
7.5,0.42,4.3,0.04,108.0,0.99155,3.14,12.8
7.2,0.28,2.0,0.052,156.0,0.9912,3.13,11.1
6.9,0.26,4.2,0.043,114.0,0.9902,3.16,12.5
6.8,0.21,1.2,0.045,126.0,0.99234,3.09,10.9
7.9,0.46,4.1,0.033,138.0,0.9912,3.18,12.8
6.1,0.34,18.35,0.05,184.0,0.99943,3.12,9.3
7.3,0.29,4.6,0.029,155.0,0.9931,3.07,10.6
6.6,0.22,15.4,0.035,153.0,0.99845,3.02,9.3
5.9,0.36,5.7,0.046,87.0,0.9934,3.22,10.2
6.3,0.32,12.0,0.049,170.0,0.9961,3.14,9.9
5.7,0.22,16.65,0.044,110.0,0.99855,3.24,9.0
9.2,0.27,10.5,0.043,228.0,0.9974,3.04,10.4
8.5,0.17,1.0,0.024,91.0,0.993,2.79,10.1
6.7,0.47,8.9,0.043,172.0,0.9964,3.22,9.2
6.6,0.36,10.1,0.05,140.0,0.99628,3.07,9.4
5.6,0.185,1.1,0.03,117.0,0.9918,3.55,10.3
6.5,0.26,1.4,0.02,66.0,0.99089,3.25,11.3
5.7,0.265,6.9,0.036,150.0,0.99299,3.36,10.8
7.1,0.14,1.2,0.051,136.0,0.9932,3.3,9.8
7.2,0.51,10.0,0.093,197.0,0.9981,3.41,9.0
7.4,0.24,14.0,0.066,198.0,0.9979,2.89,8.9
6.3,0.3,1.6,0.049,132.0,0.994,3.3,9.5
6.3,0.2,1.6,0.027,141.0,0.99268,3.53,10.8
6.1,0.34,5.0,0.042,133.0,0.99373,3.02,9.4
6.4,0.25,11.3,0.038,192.0,0.99573,3.14,10.2
5.8,0.29,2.6,0.025,120.0,0.9894,3.39,14.0
5.9,0.2,1.0,0.043,100.0,0.99033,3.4,11.4
6.2,0.23,17.2,0.039,130.0,0.99946,3.23,8.8
6.4,0.26,7.1,0.04,162.0,0.9956,3.39,9.9
7.7,0.3,14.3,0.045,213.0,0.9991,3.18,9.2
6.6,0.28,10.9,0.051,131.0,0.99566,2.93,9.5
6.3,0.29,6.5,0.039,167.0,0.9953,3.15,9.3
6.9,0.3,10.55,0.037,28.0,0.99184,3.07,12.7
7.3,0.16,1.5,0.036,108.0,0.99342,3.27,10.2
6.6,0.56,8.9,0.034,133.0,0.99675,3.2,9.1
7.1,0.38,11.8,0.041,193.0,0.99624,3.04,10.0
7.2,0.32,5.6,0.033,120.0,0.99334,2.92,10.3
7.3,0.24,15.4,0.05,174.0,0.9983,3.03,9.0
7.4,0.16,1.4,0.065,140.0,0.99134,3.06,11.4
5.0,0.61,1.3,0.009,100.0,0.9874,3.26,13.5
6.6,0.25,11.3,0.049,231.0,0.9966,3.24,9.5
7.3,0.33,1.4,0.041,177.0,0.99287,3.14,9.9
6.8,0.34,8.9,0.029,128.0,0.99318,3.28,11.95
6.6,0.41,1.4,0.037,160.0,0.99167,2.95,10.6
8.4,0.35,13.8,0.048,190.0,0.9993,3.07,9.4
6.0,0.59,0.8,0.037,95.0,0.99032,3.1,10.9
7.8,0.25,3.7,0.042,149.0,0.9954,3.36,10.0
5.2,0.44,1.4,0.036,119.0,0.9894,3.36,12.1
5.3,0.58,6.9,0.043,149.0,0.9944,3.34,9.7
6.7,0.28,1.4,0.043,159.0,0.992,3.17,10.0
6.2,0.35,1.2,0.064,120.0,0.9934,3.22,9.1
6.7,0.35,9.0,0.032,113.0,0.99188,3.13,12.9
6.7,0.14,1.6,0.036,92.0,0.99264,3.37,10.9
7.3,0.25,13.1,0.05,200.0,0.9986,3.04,8.9
7.1,0.14,1.4,0.039,128.0,0.99212,2.97,10.4
6.9,0.26,12.6,0.051,173.0,0.998,3.39,9.9
6.2,0.23,1.6,0.044,113.0,0.99176,3.3,11.4
7.6,0.3,1.6,0.087,177.0,0.99438,3.09,9.8
8.0,0.22,14.6,0.044,163.0,1.0003,3.21,8.6
7.6,0.21,2.1,0.046,165.0,0.9936,3.05,10.1
6.4,0.31,6.2,0.04,169.0,0.9953,3.15,9.3
7.4,0.19,14.5,0.045,193.0,0.9986,3.1,9.2
6.6,0.29,3.9,0.027,96.0,0.99035,3.24,12.6
6.0,0.41,1.1,0.066,148.0,0.99266,3.3,9.63333333333333
6.2,0.53,0.9,0.035,81.0,0.99234,3.24,9.5
6.8,0.32,3.3,0.026,99.0,0.9896,3.1,12.4
6.8,0.17,1.8,0.04,84.0,0.98961,2.91,12.0
8.0,0.13,1.1,0.033,86.0,0.99044,2.98,11.2
6.2,0.32,2.9,0.029,94.0,0.98998,3.25,12.4
6.3,0.37,1.5,0.024,76.0,0.98876,2.94,12.3
7.2,0.27,12.5,0.037,156.0,0.9981,3.04,8.7
6.6,0.25,2.9,0.034,121.0,0.99008,3.19,12.8
5.7,0.695,6.8,0.042,84.0,0.99432,3.44,10.2
8.2,0.23,7.5,0.049,76.0,0.9966,3.06,9.7
6.6,0.17,1.1,0.031,73.0,0.99095,3.17,11.0
6.2,0.18,1.0,0.031,73.0,0.99032,3.23,11.3
6.8,0.2,4.7,0.04,103.0,0.994,3.37,10.7
6.7,0.22,1.2,0.049,152.0,0.99346,3.5,10.0
5.9,0.32,1.5,0.057,141.0,0.9917,3.24,10.7
7.3,0.25,1.5,0.043,113.0,0.99338,3.38,10.1
7.6,0.17,4.5,0.042,102.0,0.99427,3.09,9.5
6.6,0.31,6.2,0.052,164.0,0.99602,3.24,8.8
7.1,0.21,2.2,0.037,141.0,0.993,3.2,10.0
5.9,0.26,1.3,0.047,139.0,0.9945,3.45,10.4
7.3,0.32,7.2,0.056,180.0,0.9961,3.08,8.8
8.4,0.2,11.8,0.055,170.0,1.0004,3.34,8.9
7.3,0.655,10.2,0.071,212.0,0.9971,2.96,9.2
8.2,0.38,13.6,0.042,166.0,0.99855,3.1,9.4
7.7,0.26,1.2,0.04,117.0,0.993,3.21,10.8
7.0,0.44,12.1,0.056,210.0,0.99718,3.05,9.5
7.8,0.26,3.2,0.027,87.0,0.9919,3.03,11.3
6.5,0.23,17.3,0.046,110.0,0.99828,3.15,9.2
5.2,0.24,3.8,0.027,128.0,0.992,3.55,11.2
6.4,0.32,7.9,0.05,180.0,0.99514,3.14,9.6
5.9,0.34,2.4,0.03,135.0,0.9894,3.41,13.9
6.0,0.31,2.3,0.042,120.0,0.98952,3.32,12.7
7.1,0.32,13.1,0.05,204.0,0.998,3.1,8.8
6.3,0.67,12.6,0.052,222.0,0.9979,3.17,9.3
6.6,0.27,1.4,0.042,183.0,0.99215,3.29,10.7
7.8,0.17,1.3,0.045,140.0,0.9904,3.16,12.0
6.2,0.38,2.5,0.038,117.0,0.99132,3.36,11.6
6.6,0.2,1.1,0.039,78.0,0.9926,3.39,10.2
6.9,0.115,5.4,0.048,108.0,0.9939,3.32,10.2
6.9,0.19,13.5,0.038,118.0,0.99546,3.0,10.7
6.5,0.3,2.0,0.044,90.0,0.99185,3.37,11.0
6.7,0.25,12.85,0.048,161.0,0.9986,3.44,9.5
7.4,0.23,1.4,0.044,113.0,0.9938,3.22,10.6
6.8,0.23,12.2,0.035,236.0,0.9976,3.35,9.8
5.7,0.265,6.9,0.036,150.0,0.99299,3.36,10.8
6.6,0.19,1.8,0.035,148.0,0.99196,3.15,10.2
6.4,0.28,1.6,0.052,127.0,0.9929,3.48,10.5
7.3,0.23,1.9,0.041,165.0,0.9908,3.26,12.2
7.1,0.26,16.2,0.044,170.0,0.99644,3.17,11.2
5.7,0.32,1.4,0.029,104.0,0.9906,3.44,11.0
7.0,0.31,1.6,0.063,119.0,0.99184,3.22,10.7
6.7,0.3,10.6,0.032,212.0,0.997,3.22,9.5
5.3,0.33,1.2,0.048,119.0,0.99045,3.32,11.3
7.1,0.47,6.0,0.044,77.0,0.9956,3.21,9.7
5.6,0.185,7.1,0.048,110.0,0.99438,3.26,9.5
7.4,0.34,12.1,0.049,149.0,0.99677,3.22,10.3
6.8,0.32,4.8,0.034,100.0,0.99026,3.08,12.4
5.5,0.12,1.0,0.038,131.0,0.99164,3.25,9.8
7.0,0.4,1.8,0.05,189.0,0.99174,3.0,11.4
5.8,0.3,6.3,0.042,138.0,0.99382,3.15,9.7
